Day,Month,Year,Kolkata,Bangalore,Mumbai,Delhi
13,5,2015,87,429,81,160
14,5,2015,92,56,87,165
15,5,2015,82,41,94,181
16,5,2015,94,37,101,168
17,5,2015,79,56,75,169
18,5,2015,54,61,64,157
19,5,2015,47,79,60,162
20,5,2015,63,87,53,156
21,5,2015,100,80,64,163
22,5,2015,111,77,57,143
23,5,2015,116,59,53,149
24,5,2015,113,87,58,160
25,5,2015,113,87,61,178
26,5,2015,104,92,59,182
27,5,2015,92,88,64,160
28,5,2015,88,140,60,277
29,5,2015,87,92,58,172
30,5,2015,82,77,69,178
31,5,2015,78,100,79,186
1,6,2015,82,87,64,131
2,6,2015,70,68,61,89
3,6,2015,53,77,66,173
4,6,2015,58,77,72,165
5,6,2015,72,69,75,224
6,6,2015,67,41,93,174
7,6,2015,61,42,55,199
8,6,2015,67,46,58,132
10,6,2015,79,48,30,149
11,6,2015,71,39,44,204
12,6,2015,87,40,49,171
13,6,2015,77,27,64,147
14,6,2015,98,38,73,147
15,6,2015,58,36,72,170
16,6,2015,57,68,64,169
17,6,2015,58,59,60,189
18,6,2015,50,62,47,170
19,6,2015,37,71,32,182
20,6,2015,28,50,36,155
21,6,2015,31,62,57,82
22,6,2015,43,48,81,111
23,6,2015,62,40,70,153
24,6,2015,93,32,86,232
26,6,2015,116,57,94,143
27,6,2015,109,57,94,154
28,6,2015,110,62,81,159
30,6,2015,84,72,79,150
1,7,2015,124,47,76,132
2,7,2015,118,47,56,135
3,7,2015,80,55,51,151
4,7,2015,81,54,52,175
6,7,2015,86,61,49,88
7,7,2015,59,69,54,137
8,7,2015,69,57,47,151
9,7,2015,40,44,49,138
10,7,2015,42,38,63,89
11,7,2015,30,46,64,90
12,7,2015,50,86,63,78
13,7,2015,56,74,62,107
14,7,2015,68,93,65,123
17,7,2015,46,76,74,156
18,7,2015,56,52,67,152
19,7,2015,44,31,57,167
20,7,2015,26,45,58,129
21,7,2015,24,54,55,117
22,7,2015,17,70,65,112
23,7,2015,15,70,92,107
